#TMeV s1 s3 q1 q3
125.00 9.7601e-02 1.0836e-02 -8.7162e-03 -1.0934e-03
125.50 9.9725e-02 1.0961e-02 -8.9440e-03 -1.1126e-03
126.00 1.0187e-01 1.1084e-02 -9.1754e-03 -1.1317e-03
126.50 1.0404e-01 1.1203e-02 -9.4104e-03 -1.1505e-03
127.00 1.0623e-01 1.1320e-02 -9.6489e-03 -1.1692e-03
127.50 1.0844e-01 1.1433e-02 -9.8910e-03 -1.1876e-03
128.00 1.1067e-01 1.1543e-02 -1.0137e-02 -1.2058e-03
128.50 1.1292e-01 1.1649e-02 -1.0386e-02 -1.2238e-03
129.00 1.1519e-01 1.1752e-02 -1.0638e-02 -1.2414e-03
129.50 1.1748e-01 1.1852e-02 -1.0894e-02 -1.2588e-03
130.00 1.1979e-01 1.1947e-02 -1.1154e-02 -1.2758e-03
130.50 1.2211e-01 1.2039e-02 -1.1417e-02 -1.2925e-03
131.00 1.2446e-01 1.2127e-02 -1.1683e-02 -1.3088e-03
131.50 1.2682e-01 1.2212e-02 -1.1953e-02 -1.3247e-03
132.00 1.2919e-01 1.2292e-02 -1.2226e-02 -1.3402e-03
132.50 1.3159e-01 1.2368e-02 -1.2502e-02 -1.3553e-03
133.00 1.3400e-01 1.2440e-02 -1.2781e-02 -1.3699e-03
133.50 1.3642e-01 1.2509e-02 -1.3064e-02 -1.3840e-03
134.00 1.3886e-01 1.2573e-02 -1.3349e-02 -1.3977e-03
134.50 1.4132e-01 1.2632e-02 -1.3638e-02 -1.4108e-03
135.00 1.4378e-01 1.2688e-02 -1.3930e-02 -1.4234e-03
135.50 1.4626e-01 1.2739e-02 -1.4225e-02 -1.4355e-03
136.00 1.4876e-01 1.2786e-02 -1.4523e-02 -1.4469e-03
136.50 1.5126e-01 1.2829e-02 -1.4824e-02 -1.4578e-03
137.00 1.5378e-01 1.2868e-02 -1.5127e-02 -1.4681e-03
137.50 1.5630e-01 1.2902e-02 -1.5434e-02 -1.4777e-03
138.00 1.5884e-01 1.2932e-02 -1.5743e-02 -1.4867e-03
138.50 1.6139e-01 1.2957e-02 -1.6055e-02 -1.4951e-03
139.00 1.6394e-01 1.2978e-02 -1.6369e-02 -1.5027e-03
139.50 1.6651e-01 1.2995e-02 -1.6687e-02 -1.5097e-03
140.00 1.6908e-01 1.3008e-02 -1.7006e-02 -1.5159e-03
140.50 1.7166e-01 1.3017e-02 -1.7328e-02 -1.5214e-03
141.00 1.7424e-01 1.3021e-02 -1.7653e-02 -1.5262e-03
141.50 1.7684e-01 1.3021e-02 -1.7980e-02 -1.5302e-03
142.00 1.7943e-01 1.3017e-02 -1.8309e-02 -1.5334e-03
142.50 1.8204e-01 1.3009e-02 -1.8640e-02 -1.5358e-03
143.00 1.8464e-01 1.2997e-02 -1.8973e-02 -1.5375e-03
143.50 1.8726e-01 1.2981e-02 -1.9309e-02 -1.5383e-03
